제목,도로명주소,지역,위도,경도,인기점수
미나식탁,제주특별자치도 제주시 구남동1길 46,제주시,33.476097,126.5543,3532
제주감자탕 탕자감,제주특별자치도 제주시 연동3길 14 (연동) 1층,제주시,33.488768,126.4879544,120
유끼네,제주특별자치도 서귀포시 표선면 성읍정의현로136번길 5-8,서귀포시,33.393875,126.7976,2900
하찌,제주특별자치도 서귀포시 호근남로 180,서귀포시,33.2452724,126.5370522,212
진미명가식당,제주특별자치도 서귀포시 안덕면 사계남로 167,서귀포시,33.2283602,126.3076807,5727
김지순의 낭푼밥상,제주특별자치도 제주시 연동6길 28,제주시,33.483483,126.4890064,60934
조셉마켓,제주특별자치도 제주시 서흘길 64 1층,제주시,33.530607,126.5911287,1608
영춘식당,제주특별자치도 제주시 평전길 12,제주시,33.5009142,126.5193476,3098
카페콧수염,제주특별자치도 제주시 구좌읍 해맞이해안로 402,제주시,33.559395,126.792915,9451
어머니와고등어,제주특별자치도 제주시 도두봉2길 43,제주시,33.5061518,126.4734167,6761
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,제주시,33.484203,126.40683,22036
산호풍경,제주특별자치도 제주시 우도면 우도해안길 252,제주시,33.50263,126.94384,2699
헬로우우도,제주특별자치도 제주시 우도면 우도해안길 218,제주시,33.499863,126.9442,1625
카페 깡,제주특별자치도 서귀포시 표선면 가시로565번길 18,서귀포시,33.35335,126.77206,2414
춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,서귀포시,33.2647887,126.3707772,56532
흑돼지해물삼합,제주특별자치도 서귀포시 태평로482번길 50,서귀포시,33.2457229,126.5704185,638
재복헌훠궈,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,서귀포시,33.3017501,126.3206458,4886
블루밍제이,제주특별자치도 제주시 한림읍 명월로2길 6,제주시,33.3877056,126.2654377,2946
명물,제주특별자치도 제주시 탑동로11길 2-1,제주시,33.5166654,126.517019,4570
오조해녀의 집,제주특별자치도 서귀포시 성산읍 한도로 141-13,서귀포시,33.4698069,126.9223318,9370
순풍해장국,제주특별자치도 제주시 일주동로 355,제주시,33.521584,126.58313,3729
코너스윗,제주특별자치도 제주시 제원길 14,제주시,33.488663,126.48927,1498
추자도중앙식당,제주특별자치도 제주시 추자면 추자로 8,제주시,33.9642903,126.2929862,4695
513텐동,제주특별자치도 제주시 테우해안로 46,제주시,33.4957783,126.4400377,1360
커먼브릭,제주특별자치도 제주시 월랑로 9,제주시,33.48694,126.4781,2880
봉평메밀가,제주특별자치도 제주시 신대로 10길 41,제주시,33.490746,126.492294,1905
중문랜드프리미엄뷔페,제주특별자치도 서귀포시 소보리당로164번길 62,서귀포시,33.2639753,126.3852041,13828
영주말가든,제주특별자치도 제주시 연북로 196,제주시,33.4812401,126.5019857,11881
오로라식당,제주특별자치도 제주시 우도면 우도로 174 농협 건너편,제주시,33.50793,126.95436,3719
파라다이스비치,제주특별자치도 제주시 구좌읍 김녕로21길 9,제주시,33.556812,126.75539,720
둥지식당,제주특별자치도 서귀포시 성산읍 성산등용로 96-3,서귀포시,33.4699665,126.9303414,8645
지붕위제주바다,제주특별자치도 제주시 구좌읍 평대2길 17,제주시,33.532677,126.83775,10836
생돈우리,제주특별자치도 제주시 우평로 38,제주시,33.479877,126.461846,22853
